大连医科大学,http://www.dlmedu.edu.cn/
辽宁中医药大学,http://www.lnutcm.edu.cn/cn/
沈阳药科大学,http://www.syphu.edu.cn/
辽宁师范大学,http://www.lnnu.edu.cn/
沈阳师范大学,http://www.synu.edu.cn/
渤海大学,http://www.bhu.edu.cn/
东北财经大学,http://www.dufe.edu.cn/
沈阳工程学院,http://www.sie.edu.cn/
辽宁科技学院,http://www.lnist.edu.cn/
大连东软信息学院（民办）,http://www.neusoft.edu.cn/
锦州医科大学,http://www.lnmu.edu.cn/
沈阳医学院,http://www.symc.edu.cn/
鞍山师范学院,http://www.asnc.edu.cn/
大连外国语大学,http://www.dlufl.edu.cn/
辽宁财贸学院（民办）,http://www.lncmxy.com/
沈阳体育学院,http://www.syty.edu.cn/
鲁迅美术学院,http://www.lumei.edu.cn/
沈阳音乐学院,http://www.sycm.com.cn/
大连艺术学院（民办）,http://www.dac.edu.cn
辽东学院,http://www.ldxy.cn/
辽宁对外经贸学院（民办）,http://www.luibe.edu.cn/
大连科技学院（民办）,http://www.ieidjtu.edu.cn/
营口理工学院,http://www.yku.edu.cn/
沈阳工学院（民办）,http://www.syyyy.com.cn/
大连财经学院（民办）,http://www.kingbridge.net/
沈阳城市学院（民办）,http://www.sdkj-syu.net/
沈阳城市建设学院（民办）,http://www.syucu.cn/
辽宁警察学院,http://www.lnpc.cn/
大连民族大学,http://www.dlnu.edu.cn/new/index.htm
辽宁理工学院（民办）,http://www.lise.edu.cn/
辽宁何氏医学院（民办）,http://www.he-edu.com/
沈阳科技学院（民办）,http://www.syuctky.edu.cn/
辽宁传媒学院（民办）,http://www.lncu.cn/
兰州大学,http://www.lzu.edu.cn/
西北民族大学,http://www.xbmu.edu.cn/
兰州理工大学,http://www.gsut.edu.cn/
兰州交通大学,http://www.lzjtu.edu.cn/
甘肃农业大学,http://www.gsau.edu.cn/
西北师范大学,http://www.nwnu.edu.cn/
陇东学院,http://www.ldxy.edu.cn/
甘肃民族师范学院,http://www.gnun.edu.cn/
天水师范学院,http://www.tsnu.edu.cn/
甘肃政法学院,http://www.gsli.edu.cn/
河西学院,http://www.hxu.edu.cn/
兰州城市学院,http://www.lzcu.edu.cn/
兰州工业学院,http://www.lzptc.edu.cn/ 
兰州文理学院,http://baike.baidu.com/view/5044575.htm
甘肃中医药大学,http://www.gszy.edu.cn/
兰州财经大学,http://www.lzcc.edu.cn/
甘肃医学院,http://www.plmc.edu.cn/
复旦大学,http://www.fudan.edu.cn/
上海交通大学,http://www.sjtu.edu.cn/
同济大学,http://www.tongji.edu.cn/
华东理工大学,http://www.ecust.edu.cn/
东华大学,http://www.dhu.edu.cn/
华东师范大学,http://www.ecnu.edu.cn/
上海外国语大学,http://www.shisu.edu.cn/
上海财经大学,http://www.shufe.edu.cn/
上海海关学院,http://shanghai_edu.customs.gov.cn/publish/portal135/
上海大学,http://www.shu.edu.cn/
上海理工大学,http://www.usst.edu.cn/
上海海事大学,http://www.shmtu.edu.cn/
上海工程技术大学,http://www.sues.edu.cn/
上海海洋大学,http://www.shfu.edu.cn/
上海中医药大学,http://www.shutcm.edu.cn/
上海师范大学,http://www.shnu.edu.cn/
华东政法大学,http://www.ecupl.edu.cn/
上海政法学院,http://www.shupl.edu.cn/
上海建桥学院（民办）,http://www.gench.com.cn/
上海第二工业大学,http://www.sspu.edu.cn/
上海电力学院,http://www.shiep.edu.cn/
上海电机学院,http://www.sdju.edu.cn/
上海对外经贸大学,http://www.shift.edu.cn/
上海体育学院,http://www.sus.edu.cn/
上海音乐学院,http://www.shcmusic.edu.cn/
上海戏剧学院,http://www.sta.edu.cn/
上海商学院,http://www.sbs.edu.cn/
上海杉达学院（民办）,http://www.sandau.edu.cn/
上海视觉艺术学院（民办）,http://www.siva.edu.cn/
上海应用技术大学,http://www.sit.edu.cn/
上海健康医学院,http://www.sumhs.edu.cn/
上海公安学院,http://baike.baidu.com/link?url=0Wam7o0TQmnMIv_11pPAUNv0il5oA39CRjlcCeFD-70mdNdLOmGOjL_k2itFCIGV2ytadbPX4mCksPPaZuDgy4HC7OgSiaowFzrFitbmDm8xFB3VTLaYNkozr0DBQnqstFR-aSAdKlOLqxi769Sopa
上海立信会计金融学院,http://baike.baidu.com/link?url=tJqZI_MokJlhqlLzP4JCQkLpea6jn5S5szaNTMtWoq3FVUwLs35mK5WVdmxkVAIzMQEmJFEjkymqkZ96jc8HAqhxeV631jME3O9v44uZmQx_lgNjpe3-PEqZ4_kpnmOU7915Z2X9QzjzCAV_ZZZ1pxpB82HLOHzxsXbafkjS6AclxoMOVfcYi6Xi3sagA2VP
上海科技大学,http://www.shanghaitech.edu.cn/
上海纽约大学（中外合作办学）,http://shanghai.nyu.edu/
上海兴伟学院（民办）,http://baike.baidu.com/link?url=P5w4S7Jgn7GXaxPitmm5wkAXl2iFEl3NDJHP5rtaJVtNg9HINJbw7gasB2Uq5dLtTbyPeodZcJ9e4XzleB0PFq
广西大学,http://www.gxu.edu.cn/
桂林电子科技大学,http://www.gliet.edu.cn/extGuetWeb
桂林理工大学,http://www.glut.edu.cn/Git/Index.asp
广西医科大学,http://www.gxmu.edu.cn/
广西师范大学,http://www.gxnu.edu.cn/
广西民族大学,http://www.gxun.edu.cn/
广西科技大学,http://www.gxut.edu.cn/
广西中医药大学,http://www.gxtcmu.edu.cn/
右江民族医学院,http://www.ymcn.gx.cn/
桂林医学院,http://www.glmc.edu.cn/
广西师范学院,http://www.gxtc.edu.cn/
广西民族师范学院,http://www.gxnun.net/
河池学院,http://www.hcnu.edu.cn/
玉林师范学院,http://www.ylu.edu.cn
广西财经学院,http://www.gxufe.cn/
广西艺术学院,http://baike.baidu.com/link?url=Fm4brebkwy3OuVUgn24Yw3tbncf2XIhladyTS2ixAiJmob6Vk43wO9se1ST5htCfbRvk6fK2LIu6txvpVXJLB_
贺州学院,http://www.hzu.gx.cn/
钦州学院,http://www.qzhu.edu.cn/
百色学院,http://www.bsuc.cn/
梧州学院,http://www.gxuwz.edu.cn/
